t,conso
1949T1,"1,9"
1949T2,"2,0"
1949T3,"2,1"
1949T4,"2,1"
1950T1,"2,1"
1950T2,"2,2"
1950T3,"2,4"
1950T4,"2,5"
1951T1,"2,7"
1951T2,"2,8"
1951T3,"3,0"
1951T4,"3,1"
1952T1,"3,3"
1952T2,"3,3"
1952T3,"3,4"
1952T4,"3,4"
1953T1,"3,5"
1953T2,"3,5"
1953T3,"3,5"
1953T4,"3,5"
1954T1,"3,6"
1954T2,"3,7"
1954T3,"3,7"
1954T4,"3,8"
1955T1,"3,8"
1955T2,"3,9"
1955T3,"4,0"
1955T4,"4,1"
1956T1,"4,2"
1956T2,"4,4"
1956T3,"4,5"
1956T4,"4,6"
1957T1,"4,6"
1957T2,"4,8"
1957T3,"5,0"
1957T4,"5,2"
1958T1,"5,4"
1958T2,"5,5"
1958T3,"5,6"
1958T4,"5,7"
1959T1,"5,9"
1959T2,"5,9"
1959T3,"6,0"
1959T4,"6,2"
1960T1,"6,3"
1960T2,"6,4"
1960T3,"6,5"
1960T4,"6,7"
1961T1,"6,9"
1961T2,"7,0"
1961T3,"7,1"
1961T4,"7,3"
1962T1,"7,6"
1962T2,"7,9"
1962T3,"8,0"
1962T4,"8,2"
1963T1,"8,3"
1963T2,"8,8"
1963T3,"9,2"
1963T4,"9,3"
1964T1,"9,5"
1964T2,"9,6"
1964T3,"9,8"
1964T4,"9,9"
1965T1,"10,0"
1965T2,"10,3"
1965T3,"10,5"
1965T4,"10,6"
1966T1,"10,8"
1966T2,"11,1"
1966T3,"11,2"
1966T4,"11,5"
1967T1,"11,8"
1967T2,"12,0"
1967T3,"12,2"
1967T4,"12,4"
1968T1,"12,6"
1968T2,"12,6"
1968T3,"13,6"
1968T4,"14,1"
1969T1,"14,5"
1969T2,"15,0"
1969T3,"15,4"
1969T4,"15,5"
1970T1,"15,9"
1970T2,"16,4"
1970T3,"16,7"
1970T4,"17,3"
1971T1,"17,7"
1971T2,"18,2"
1971T3,"18,7"
1971T4,"19,2"
1972T1,"19,8"
1972T2,"20,1"
1972T3,"20,9"
1972T4,"21,5"
1973T1,"22,2"
1973T2,"22,8"
1973T3,"23,5"
1973T4,"24,8"
1974T1,"25,9"
1974T2,"27,1"
1974T3,"28,0"
1974T4,"28,7"
1975T1,"29,6"
1975T2,"30,6"
1975T3,"31,8"
1975T4,"33,0"
1976T1,"34,4"
1976T2,"35,4"
1976T3,"36,8"
1976T4,"38,1"
1977T1,"38,8"
1977T2,"39,9"
1977T3,"41,3"
1977T4,"42,2"
1978T1,"43,3"
1978T2,"45,1"
1978T3,"46,5"
1978T4,"48,3"
1979T1,"49,9"
1979T2,"51,6"
1979T3,"53,5"
1979T4,"55,1"
1980T1,"57,6"
1980T2,"58,8"
1980T3,"60,8"
1980T4,"63,1"
1981T1,"65,2"
1981T2,"68,2"
1981T3,"71,0"
1981T4,"74,2"
1982T1,"76,9"
1982T2,"79,9"
1982T3,"81,3"
1982T4,"83,9"
1983T1,"86,0"
1983T2,"88,1"
1983T3,"89,6"
1983T4,"91,8"
1984T1,"94,0"
1984T2,"95,8"
1984T3,"97,7"
1984T4,"98,8"
1985T1,"101,8"
1985T2,"103,6"
1985T3,"105,4"
1985T4,"107,5"
1986T1,"108,6"
1986T2,"111,0"
1986T3,"112,2"
1986T4,"113,5"
1987T1,"115,4"
1987T2,"117,7"
1987T3,"118,7"
1987T4,"121,4"
1988T1,"122,1"
1988T2,"123,8"
1988T3,"126,5"
1988T4,"128,7"
1989T1,"131,4"
1989T2,"133,2"
1989T3,"135,7"
1989T4,"137,6"
1990T1,"139,5"
1990T2,"140,7"
1990T3,"142,3"
1990T4,"144,3"
1991T1,"144,7"
1991T2,"145,8"
1991T3,"146,7"
1991T4,"148,6"
1992T1,"149,5"
1992T2,"150,5"
1992T3,"152,0"
1992T4,"153,5"
1993T1,"152,1"
1993T2,"153,5"
1993T3,"154,1"
1993T4,"155,0"
1994T1,"155,4"
1994T2,"157,3"
1994T3,"158,2"
1994T4,"158,7"
1995T1,"159,6"
1995T2,"162,6"
1995T3,"161,7"
1995T4,"162,6"
1996T1,"166,3"
1996T2,"166,5"
1996T3,"168,4"
1996T4,"167,0"
1997T1,"167,4"
1997T2,"167,9"
1997T3,"169,8"
1997T4,"171,9"
1998T1,"173,6"
1998T2,"176,1"
1998T3,"177,5"
1998T4,"178,1"
1999T1,"177,9"
1999T2,"179,5"
1999T3,"182,7"
1999T4,"185,5"
2000T1,"188,8"
2000T2,"191,4"
2000T3,"193,8"
2000T4,"195,8"
2001T1,"198,0"
2001T2,"200,9"
2001T3,"202,6"
2001T4,"202,6"
2002T1,"204,5"
2002T2,"205,7"
2002T3,"207,5"
2002T4,"209,4"
2003T1,"211,7"
2003T2,"211,6"
2003T3,"214,8"
2003T4,"216,2"
2004T1,"218,8"
2004T2,"221,4"
2004T3,"222,4"
2004T4,"226,5"
2005T1,"228,6"
2005T2,"230,4"
2005T3,"233,3"
2005T4,"235,5"
2006T1,"238,9"
2006T2,"242,1"
2006T3,"243,4"
2006T4,"245,3"
2007T1,"247,9"
2007T2,"252,1"
2007T3,"255,9"
2007T4,"259,5"
2008T1,"260,9"
2008T2,"263,4"
2008T3,"263,6"
2008T4,"260,5"
2009T1,"257,8"
2009T2,"258,2"
2009T3,"257,9"
2009T4,"260,5"
2010T1,"263,0"
2010T2,"265,0"
2010T3,"266,8"
2010T4,"269,8"
2011T1,"273,5"
2011T2,"271,4"
2011T3,"272,4"
2011T4,"272,5"
2012T1,"274,9"
2012T2,"274,9"
2012T3,"274,7"
2012T4,"275,8"
2013T1,"277,3"
2013T2,"278,2"
2013T3,"278,4"
2013T4,"280,1"
2014T1,"279,2"
2014T2,"280,4"
2014T3,"281,7"
2014T4,"282,6"
2015T1,"283,9"
2015T2,"285,8"
2015T3,"286,5"
2015T4,"286,5"
2016T1,"288,9"
2016T2,"290,4"
2016T3,"290,4"
2016T4,"293,6"
2017T1,"295,6"
2017T2,"296,8"
2017T3,"298,5"
2017T4,"300,7"
2018T1,"303,4"
2018T2,"304,2"
2018T3,"306,5"
2018T4,"307,3"
2019T1,"308,8"
